imagen,nombre,dorsal,position,fecha_nacimiento,edad,pais,altura,pie,fecha_fichaje,equipo_anterior,fecha_final_contrato,valor_de_mercado
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Marc-André ter Stegen,1,Portero,30/04/1992,32,Alemania,"1,87m",Derecho,01/07/2014,Borussia Mönchengladbach,30/06/2028,"20,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Iñaki Peña,13,Portero,02/03/1999,25,España,"1,84m",Derecho,30/01/2022,FC Barcelona B,30/06/2026,"8,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Wojciech Szczęsny,25,Portero,18/04/1990,34,Polonia,"1,95m",Derecho,02/10/2024,inactivo,30/06/2025,"3,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Ronald Araujo,4,Defensa central,07/03/1999,25,Uruguay,"1,92m",Derecho,05/10/2020,FC Barcelona B,30/06/2026,"70,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Pau Cubarsí,2,Defensa central,22/01/2007,17,España,"1,84m",Derecho,01/01/2024,FC Barcelona Atlètic,30/06/2027,"40,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Andreas Christensen,15,Defensa central,10/04/1996,28,Dinamarca,"1,87m",Derecho,04/07/2022,Chelsea FC,30/06/2026,"30,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Eric García,24,Defensa central,09/01/2001,23,España,"1,82m",Derecho,01/07/2021,Manchester City,30/06/2026,"20,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Iñigo Martínez,5,Defensa central,17/05/1991,33,España,"1,82m",Izquierdo,05/07/2023,Athletic Club,30/06/2025,"5,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Sergi Domínguez,36,Defensa central,01/04/2005,19,España,"1,91m",Derecho,,Desconocido,30/06/2027,"1,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Alejandro Balde,3,Lateral izquierdo,18/10/2003,21,España,"1,75m",Izquierdo,01/07/2022,FC Barcelona Atlètic,30/06/2028,"40,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Gerard Martín,35,Lateral izquierdo,26/02/2002,22,España,"1,86m",Izquierdo,01/07/2024,FC Barcelona Atlètic,30/06/2025,"3,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Jules Koundé,23,Lateral derecho,12/11/1998,26,Francia,"1,80m",Derecho,28/07/2022,Sevilla FC,30/06/2027,"55,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Héctor Fort,32,Lateral derecho,02/08/2006,18,España,"1,85m",Derecho,01/07/2024,FC Barcelona Atlètic,30/06/2026,"10,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Marc Casadó,17,Pivote,14/09/2003,21,España,"1,72m",Derecho,01/07/2024,FC Barcelona Atlètic,30/06/2028,"15,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Marc Bernal,28,Pivote,26/05/2007,17,España,"1,91m",Izquierdo,01/07/2024,FC Barcelona Atlètic,30/06/2026,"5,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Gavi,6,Mediocentro,05/08/2004,20,España,"1,73m",Derecho,01/07/2021,FC Barcelona Juvenil A,30/06/2026,"90,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Pedri,8,Mediocentro,25/11/2002,21,España,"1,74m",Derecho,02/09/2019,UD Las Palmas,30/06/2026,"80,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Frenkie de Jong,21,Mediocentro,12/05/1997,27,Países Bajos,"1,81m",Derecho,01/07/2019,Ajax de Ámsterdam,30/06/2026,"60,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Fermín López,16,Mediocentro,11/05/2003,21,España,"1,74m",Derecho,01/07/2023,FC Barcelona Atlètic,30/06/2029,"50,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Dani Olmo,20,Mediocentro ofensivo,07/05/1998,26,España,"1,79m",Derecho,09/08/2024,RB Leipzig,30/06/2030,"60,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Pablo Torre,14,Mediocentro ofensivo,03/04/2003,21,España,"1,73m",Derecho,01/07/2022,Real Racing Club ,30/06/2026,"5,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Raphinha,11,Extremo izquierdo,14/12/1996,27,Brasil,"1,76m",Izquierdo,13/07/2022,Leeds United,30/06/2027,"60,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Ansu Fati,10,Extremo izquierdo,31/10/2002,22,España,"1,78m",Derecho,23/09/2020,FC Barcelona B,30/06/2027,"15,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Lamine Yamal,19,Extremo derecho,13/07/2007,17,España,"1,80m",Izquierdo,01/07/2023,FC Barcelona Juvenil A,30/06/2026,"150,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Ferran Torres,7,Extremo derecho,29/02/2000,24,España,"1,84m",Derecho,01/01/2022,Manchester City,30/06/2027,"30,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Robert Lewandowski,9,Delantero centro,21/08/1988,36,Polonia,"1,85m",Derecho,19/07/2022,Bayern Múnich,30/06/2026,"15,00 "
"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",Pau Víctor,18,Delantero centro,26/11/2001,22,España,"1,84m",Derecho,24/07/2024,Girona FC,30/06/2029,"5,00 "
